,week,time,use,sid,count
18747,6,5,0,50130013,1
18748,6,6,0,50130013,1
18749,6,7,0,50130013,1
18750,6,8,0,50130013,1
18751,6,9,0,50130013,1
18752,6,10,0,50130013,1
18753,6,11,0,50130013,1
18754,6,12,0,50130013,1
18755,6,13,0,50130013,1
18756,6,14,0,50130013,1
18757,6,15,0,50130013,1
18758,6,16,0,50130013,1
18759,6,17,0,50130013,1
18760,6,18,0,50130013,1
18761,6,19,0,50130013,1
18762,6,20,0,50130013,1
18763,6,21,0,50130013,1
18764,6,22,0,50130013,1
18765,6,23,0,50130013,1
18766,0,0,0,50130013,1
18767,0,1,0,50130013,1
18768,0,2,0,50130013,1
18769,0,3,0,50130013,1
18770,0,4,0,50130013,1
18771,0,5,0,50130013,1
18772,0,6,0,50130013,1
18773,0,7,0,50130013,1
18774,0,8,0,50130013,1
18775,0,9,0,50130013,1
18776,0,10,0,50130013,1
18777,0,11,0,50130013,1
18778,0,12,0,50130013,1
18779,0,13,0,50130013,1
18780,0,14,1,50130013,1
18781,0,14,0,50130013,1
18782,0,15,0,50130013,1
18783,0,16,0,50130013,1
18784,0,17,0,50130013,1
18785,0,18,1,50130013,1
18786,0,19,0,50130013,1
18787,0,20,0,50130013,1
18788,0,21,0,50130013,1
18789,0,22,0,50130013,1
18790,0,23,1,50130013,1
18791,1,0,1,50130013,1
18792,1,0,1,50130013,1
18793,1,0,0,50130013,1
18794,1,1,0,50130013,1
18795,1,2,0,50130013,1
18796,1,3,0,50130013,1
18797,1,4,0,50130013,1
18798,1,5,0,50130013,1
18799,1,6,0,50130013,1
18800,1,7,0,50130013,1
18801,1,8,0,50130013,1
18802,1,9,0,50130013,1
18803,1,10,1,50130013,1
18804,1,11,0,50130013,1
18805,1,12,1,50130013,1
18806,1,12,0,50130013,1
18807,1,13,0,50130013,1
18808,1,14,1,50130013,1
18809,1,15,0,50130013,1
18810,1,18,1,50130013,1
18811,1,23,0,50130013,1
18812,2,7,0,50130013,1
18813,2,17,0,50130013,1
18814,2,23,0,50130013,1
18815,3,14,1,50130013,1
18816,3,17,1,50130013,1
18817,3,19,1,50130013,1
18818,1,16,1,50130021,1
18819,1,16,0,50130021,1
18820,1,16,0,50130021,1
18821,1,17,0,50130021,1
18822,1,17,0,50130021,1
18823,1,18,0,50130021,1
18824,1,18,0,50130021,1
18825,1,19,0,50130021,1
18826,1,19,0,50130021,1
18827,1,20,0,50130021,1
18828,1,20,0,50130021,1
18829,1,21,0,50130021,1
18830,1,21,0,50130021,1
18831,1,22,0,50130021,1
18832,1,22,0,50130021,1
18833,1,23,0,50130021,1
18834,1,23,0,50130021,1
18835,2,0,0,50130021,1
18836,2,0,0,50130021,1
18837,2,1,0,50130021,1
18838,2,1,0,50130021,1
18839,2,2,0,50130021,1
18840,2,2,0,50130021,1
18841,2,3,0,50130021,1
18842,2,3,0,50130021,1
18843,2,4,0,50130021,1
18844,2,4,0,50130021,1
