"id","start_date","start_time","end_date","end_time"
"447100020","2020-10-15 Thu","18:54:13","2020-10-15 Thu","19:53:33"
"447100020","2020-10-15 Thu","20:39:00","2020-10-15 Thu","21:37:21"
"447100030","2020-10-15 Thu","16:19:15",\t,\t
"447600010","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:35:50"
"447600010","2020-10-15 Thu","16:43:50","2020-10-15 Thu","16:58:49"
"447600010","2020-10-16 Fri","14:07:23","2020-10-16 Fri","14:40:47"
"447600020","2020-10-15 Thu","22:00:08","2020-10-15 Thu","22:24:02"
"447600030","2020-10-15 Thu","18:23:40","2020-10-15 Thu","18:31:30"
"447600030","2020-10-16 Fri","01:03:24",\t,\t
"447900020","2020-10-16 Fri","15:58:56",\t,\t
"447900030","2020-10-15 Thu","17:36:57","2020-10-15 Thu","18:07:46"
"448100020","2020-10-15 Thu","19:38:45","2020-10-15 Thu","20:16:24"
"448250010","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:36:57"
"448250010","2020-10-15 Thu","18:31:30","2020-10-15 Thu","19:01:41"
"448250010","2020-10-15 Thu","19:09:04","2020-10-15 Thu","19:38:45"
"448250020","2020-10-15 Thu","22:24:02","2020-10-15 Thu","22:47:33"
"448250020","2020-10-16 Fri","15:58:56",\t,\t
"451110010","2020-10-15 Thu","17:44:24","2020-10-15 Thu","18:31:30"
"451130010","2020-10-15 Thu","16:27:43","2020-10-15 Thu","17:05:39"
"451130010","2020-10-15 Thu","19:01:41","2020-10-15 Thu","19:38:45"
"451130010","2020-10-15 Thu","22:24:02","2020-10-15 Thu","23:10:07"
"451130010","2020-10-16 Fri","13:43:03","2020-10-16 Fri","13:50:50"
"451300050","2020-10-15 Thu","16:19:15",\t,\t
"451300060","2020-10-15 Thu","22:47:33","2020-10-15 Thu","23:10:07"
"451400010","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:27:43"
"451400010","2020-10-15 Thu","16:51:30","2020-10-15 Thu","17:29:33"
"451400010","2020-10-16 Fri","13:43:03","2020-10-16 Fri","14:22:43"
"451400010","2020-10-16 Fri","14:32:01","2020-10-16 Fri","15:58:56"
"451800040","2020-10-15 Thu","16:58:49","2020-10-15 Thu","17:13:03"
"451800050","2020-10-15 Thu","19:53:33","2020-10-15 Thu","20:31:48"
"451900020","2020-10-15 Thu","19:09:04","2020-10-15 Thu","19:46:11"
"457100020","2020-10-15 Thu","22:00:08","2020-10-15 Thu","22:47:33"
"457200010","2020-10-15 Thu","17:05:39","2020-10-15 Thu","17:21:22"
"457400010","2020-10-16 Fri","13:43:03","2020-10-16 Fri","14:15:22"
"457400020","2020-10-15 Thu","18:31:30","2020-10-15 Thu","19:01:41"
"457500030","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:07:46"
"457500030","2020-10-15 Thu","19:09:04","2020-10-15 Thu","19:46:11"
"457500040","2020-10-15 Thu","16:27:43","2020-10-15 Thu","16:51:30"
"457500040","2020-10-15 Thu","17:05:39","2020-10-15 Thu","17:36:57"
"457500040","2020-10-16 Fri","14:07:23","2020-10-16 Fri","14:15:22"
"457900040","2020-10-15 Thu","17:21:22","2020-10-15 Thu","17:52:20"
"457900040","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:31:30"
"457900040","2020-10-16 Fri","15:58:56",\t,\t
"461300070","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:27:43"
"461500040","2020-10-16 Fri","14:22:43","2020-10-16 Fri","15:58:56"
"461500140","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:43:50"
"461500140","2020-10-15 Thu","20:16:24","2020-10-15 Thu","20:55:09"
"461500140","2020-10-15 Thu","21:14:06","2020-10-15 Thu","22:00:08"
"461500160","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"461500160","2020-10-15 Thu","22:24:02","2020-10-15 Thu","22:47:33"
"461500170","2020-10-15 Thu","17:52:20","2020-10-15 Thu","18:07:46"
"462300040","2020-10-15 Thu","17:21:22","2020-10-15 Thu","17:36:57"
"462300040","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:31:30"
"462300040","2020-10-15 Thu","18:38:52","2020-10-15 Thu","18:46:48"
"462300040","2020-10-15 Thu","19:23:57","2020-10-15 Thu","19:31:20"
"462300040","2020-10-16 Fri","14:15:22","2020-10-16 Fri","15:58:56"
"467700030","2020-10-16 Fri","14:15:22","2020-10-16 Fri","14:32:01"
"467800040","2020-10-16 Fri","14:40:47","2020-10-16 Fri","15:58:56"
"468200020","2020-10-15 Thu","20:39:00","2020-10-15 Thu","22:24:02"
"468600030","2020-10-15 Thu","16:51:30","2020-10-15 Thu","16:58:49"
"468700330","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:52:20"
"468700330","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:15:33"
"468700330","2020-10-15 Thu","18:31:30","2020-10-15 Thu","18:38:52"
"468700330","2020-10-15 Thu","23:55:13","2020-10-16 Fri","01:03:24"
"468900050","2020-10-16 Fri","13:43:03",\t,\t
"471110010","2020-10-16 Fri","15:58:56",\t,\t
"471130010","2020-10-15 Thu","19:09:04","2020-10-15 Thu","19:23:57"
"471130010","2020-10-16 Fri","00:40:11","2020-10-16 Fri","01:03:24"
"471130020","2020-10-16 Fri","14:22:43","2020-10-16 Fri","15:58:56"
"471130030","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"471130030","2020-10-15 Thu","23:10:07","2020-10-16 Fri","00:18:41"
"471130040","2020-10-16 Fri","13:58:44","2020-10-16 Fri","14:07:23"
"471500020","2020-10-15 Thu","18:54:13","2020-10-15 Thu","19:31:20"
"471500020","2020-10-15 Thu","21:14:06","2020-10-15 Thu","21:37:21"
"471500020","2020-10-16 Fri","14:32:01","2020-10-16 Fri","14:40:47"
"471500030","2020-10-15 Thu","17:29:33","2020-10-15 Thu","18:07:46"
"471500030","2020-10-15 Thu","18:31:30","2020-10-15 Thu","19:01:41"
"471700030","2020-10-16 Fri","14:22:43","2020-10-16 Fri","15:58:56"
"471900040","2020-10-15 Thu","16:19:15",\t,\t
"472300040","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:51:30"
"472300040","2020-10-15 Thu","16:58:49","2020-10-15 Thu","17:13:03"
"472300040","2020-10-15 Thu","17:21:22","2020-10-15 Thu","17:29:33"
"472300040","2020-10-15 Thu","19:31:20","2020-10-15 Thu","19:46:11"
"472300040","2020-10-15 Thu","23:33:37","2020-10-15 Thu","23:55:13"
"472300050","2020-10-16 Fri","01:48:49","2020-10-16 Fri","02:10:10"
"472500010","2020-10-15 Thu","16:35:50","2020-10-15 Thu","17:13:03"
"472500010","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"472500010","2020-10-16 Fri","13:50:50",\t,\t
"477200010","2020-10-16 Fri","13:58:44",\t,\t
"478200040","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:44:24"
"478200040","2020-10-15 Thu","20:31:48","2020-10-15 Thu","21:14:06"
"478200040","2020-10-15 Thu","22:24:02","2020-10-15 Thu","23:10:07"
"478200040","2020-10-15 Thu","23:55:13","2020-10-16 Fri","00:18:41"
"478200050","2020-10-15 Thu","16:43:50","2020-10-15 Thu","17:05:39"
"478200050","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:29:33"
"478200050","2020-10-15 Thu","17:44:24","2020-10-15 Thu","17:52:20"
"478200050","2020-10-15 Thu","19:31:20","2020-10-15 Thu","20:01:26"
"478200050","2020-10-15 Thu","20:08:45","2020-10-15 Thu","20:31:48"
"478200050","2020-10-15 Thu","22:47:33","2020-10-15 Thu","23:55:13"
"478200050","2020-10-16 Fri","13:58:44","2020-10-16 Fri","14:15:22"
"478200050","2020-10-16 Fri","14:22:43","2020-10-16 Fri","15:58:56"
"478300010","2020-10-15 Thu","16:19:15",\t,\t
"478500030","2020-10-16 Fri","15:58:56",\t,\t
"478500040","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:51:30"
"478500040","2020-10-15 Thu","22:47:33","2020-10-16 Fri","00:18:41"
"479400050","2020-10-16 Fri","02:10:10","2020-10-16 Fri","13:43:03"
"481100200","2020-10-16 Fri","01:48:49","2020-10-16 Fri","13:43:03"
"481290010","2020-10-15 Thu","16:43:50","2020-10-15 Thu","17:29:33"
"481290010","2020-10-15 Thu","20:08:45","2020-10-15 Thu","20:46:27"
"481290010","2020-10-15 Thu","23:10:07","2020-10-15 Thu","23:33:37"
"481290010","2020-10-16 Fri","14:40:47","2020-10-16 Fri","15:58:56"
"481700020","2020-10-15 Thu","17:44:24","2020-10-15 Thu","18:23:40"
"481700020","2020-10-16 Fri","02:10:10","2020-10-16 Fri","13:43:03"
"481700050","2020-10-15 Thu","17:29:33","2020-10-15 Thu","18:00:08"
"481700050","2020-10-16 Fri","15:58:56",\t,\t
"482500020","2020-10-15 Thu","22:00:08","2020-10-15 Thu","22:24:02"
"482500020","2020-10-16 Fri","13:58:44","2020-10-16 Fri","14:22:43"
"482500020","2020-10-16 Fri","15:58:56",\t,\t
"482500030","2020-10-15 Thu","19:38:45","2020-10-15 Thu","20:16:24"
"482500030","2020-10-16 Fri","13:50:50","2020-10-16 Fri","15:58:56"
"482500060","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:58:49"
"483300030","2020-10-15 Thu","16:27:43","2020-10-15 Thu","16:35:50"
"483300030","2020-10-15 Thu","19:31:20","2020-10-15 Thu","20:01:26"
"483300030","2020-10-15 Thu","21:14:06","2020-10-15 Thu","22:00:08"
"488200030","2020-10-15 Thu","19:23:57","2020-10-15 Thu","19:46:11"
"488500010","2020-10-15 Thu","19:38:45","2020-10-15 Thu","20:23:54"
"488700030","2020-10-15 Thu","16:35:50","2020-10-15 Thu","17:13:03"
"488700030","2020-10-15 Thu","20:31:48","2020-10-15 Thu","21:14:06"
"488700030","2020-10-16 Fri","13:43:03","2020-10-16 Fri","13:58:44"
"488700040","2020-10-15 Thu","16:27:43","2020-10-15 Thu","17:05:39"
"488800020","2020-10-15 Thu","18:46:48","2020-10-15 Thu","19:23:57"
"488800020","2020-10-15 Thu","19:53:33","2020-10-15 Thu","20:31:48"
"488800030","2020-10-16 Fri","01:48:49","2020-10-16 Fri","02:10:10"
"488800040","2020-10-16 Fri","01:25:11","2020-10-16 Fri","02:10:10"
"488900030","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:27:43"
"488900030","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:31:30"
"501100010","2020-10-15 Thu","21:14:06","2020-10-15 Thu","21:37:21"
"501100530","2020-10-16 Fri","13:43:03","2020-10-16 Fri","13:58:44"
"501100540","2020-10-15 Thu","16:19:15","2020-10-16 Fri","00:18:41"
"501100560","2020-10-15 Thu","19:31:20","2020-10-15 Thu","19:53:33"
"501100560","2020-10-15 Thu","20:01:26","2020-10-15 Thu","20:23:54"
"501100560","2020-10-15 Thu","22:00:08","2020-10-15 Thu","22:24:02"
"501100560","2020-10-15 Thu","23:10:07","2020-10-15 Thu","23:33:37"
"501100560","2020-10-16 Fri","15:58:56",\t,\t
"501100700","2020-10-15 Thu","16:35:50","2020-10-15 Thu","16:58:49"
"501100710","2020-10-15 Thu","18:38:52","2020-10-15 Thu","19:09:04"
"501100730","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:43:50"
"501100730","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:36:57"
"501100750","2020-10-15 Thu","16:43:50","2020-10-15 Thu","16:51:30"
"501100750","2020-10-15 Thu","18:46:48","2020-10-15 Thu","19:09:04"
"501100750","2020-10-15 Thu","19:38:45","2020-10-15 Thu","20:08:45"
"501100750","2020-10-15 Thu","22:24:02","2020-10-15 Thu","22:47:33"
